# LAMMPS data file written by OVITO
222 atoms
143 bonds
1 atom types
1 bond types
0.0 10.0 xlo xhi
0.0 10.0 ylo yhi
0.0 10.0 zlo zhi
1.2246499e-15 1.2246499e-15 1.2246499e-15 xy xz yz

Atoms

5 1 1 4.5482354 1.4245558 3.1135531
6 1 1 5.1155987 1.8227549 3.2532895
7 1 1 5.6829624 2.220954 3.3930259
26 2 1 4.7788115 3.8399034 1.7009952
27 2 1 5.4859114 3.8399034 1.7009952
45 3 1 5.4911447 5.0463805 9.843647
46 3 1 4.9350176 5.4830876 9.843647
47 3 1 4.3788905 5.9197946 9.843647
136 7 1 4.2591944 9.1000242 4.2010422
137 7 1 4.5412326 8.6415243 4.6595421
138 7 1 4.8232708 8.1830244 5.118042
139 7 1 5.105309 7.724524 5.5765429
140 7 1 5.3873472 7.2660236 6.0350418
181 10 1 5.4579945 7.8726592 8.0198946
221 12 1 5.101881 1.221984 7.8742968
222 12 1 5.3666134 1.6643515 8.3582573
223 12 1 5.6313463 2.1067188 8.8422184
246 13 1 4.295341 0.297629 3.5534401
247 13 1 4.9705874 0.0877887 3.5534401
248 13 1 5.6458335 9.8779488 3.5534401
281 15 1 5.632699 2.9446812 3.7076357
310 16 1 4.3494949 4.2705999 2.3355827
311 16 1 4.6261244 4.0791326 2.9575206
312 16 1 4.9027538 3.8876654 3.5794592
313 16 1 5.1793833 3.6961978 4.2013969
314 16 1 5.4560128 3.5047305 4.8233347
315 16 1 5.7326422 3.313263 5.4452725
324 17 1 4.616045 6.4727435 2.4157162
325 17 1 5.2998319 6.4960566 2.237159
345 18 1 4.2889142 3.4104059 7.2014408
346 18 1 4.8750486 3.0148849 7.2014408
347 18 1 5.4611831 2.619364 7.2014408
426 22 1 5.2834044 0.8652148 0.1393856
427 22 1 4.6545034 0.541991 0.1393856
447 23 1 4.4479065 2.6021109 8.9357996
448 23 1 4.8982506 3.093957 8.7007094
449 23 1 5.3485947 3.585804 8.4656182
517 26 1 4.2907338 2.6329413 3.6238528
518 26 1 4.4472962 3.0481358 4.1743908
519 26 1 4.6038585 3.4633312 4.7249279
520 26 1 4.7604208 3.8785258 5.275466
522 27 1 4.9290706 6.0940385 8.1752853
523 27 1 5.6361704 6.0940385 8.1752853
584 30 1 4.9261308 5.872355 8.1525784
585 30 1 5.632988 5.8908888 8.1525784
668 34 1 4.3540907 8.8661338 0.8238259
669 34 1 4.8819652 9.3011246 1.0030518
670 34 1 5.4098392 9.7361164 1.1822767
724 37 1 4.7593498 3.9110828 2.6406348
725 37 1 5.4664498 3.9110828 2.6406348
743 38 1 4.629642 4.1050897 8.1883678
744 38 1 5.3367424 4.1050897 8.1883678
776 39 1 5.6235128 5.3190518 2.0547051
777 39 1 5.4407435 5.8020554 1.5717012
778 39 1 5.2579742 6.285059 1.0886972
779 39 1 5.0752049 6.7680645 0.6056932
780 39 1 4.8924356 7.2510681 0.1226891
803 41 1 4.8834096 8.6127119 3.0463278
804 41 1 5.5905094 8.6127119 3.0463278
861 44 1 5.210599 4.965756 9.0836973
886 45 1 5.2123699 9.5148878 7.462359
887 45 1 4.5191984 9.3752327 7.462359
924 47 1 4.3378363 6.3675933 5.467238
925 47 1 4.5472207 5.9110542 5.9649534
926 47 1 4.7566057 5.4545155 6.4626689
927 47 1 4.9659902 4.9979764 6.9603844
928 47 1 5.1753745 4.5414372 7.4580999
929 47 1 5.3847594 4.084898 7.9558148
930 47 1 5.5941439 3.6283593 8.4535303
941 48 1 4.3119459 4.9621 3.6476035
942 48 1 4.4288402 5.3335605 4.2378097
943 48 1 4.545734 5.7050214 4.8280158
944 48 1 4.6626277 6.0764818 5.418222
945 48 1 4.7795215 6.4479423 6.0084281
946 48 1 4.8964158 6.8194032 6.5986338
947 48 1 5.0133095 7.1908636 7.1888399
948 48 1 5.1302033 7.5623245 7.7790461
949 48 1 5.2470975 7.933785 8.3692522
950 48 1 5.3639913 8.3052454 8.9594584
951 48 1 5.4808851 8.6767063 9.5496645
